Name,Screener,LTP,Change(%),Open,Volume,Market Cap (Cr.),PE Ratio,Industry PE,52W High,52W Low,1M Returns,3M Returns,1 Yr Returns,3 Yr Returns,5 Yr Returns,PB Ratio,Dividend,ROE,ROCE,EPS,50 DMA,200 DMA,RSI,Margin Funding,Margin Pledge
"Eicher Motors","https://scanx.trade/company/eicher-motors-ltd","7,219.00","3.34%","7,200.00","5,97,104","1,98,016.62","37.52","42.63","7,613.50","4,646.00","-1.57%","3.03%","31.61%","124.38%","148.52%","8.68","1.00%","22.17%","26.14%","152.70","7,218.14","6,347.82","40.76","78.00%","91.00%"
"Interglobe Aviation","https://scanx.trade/company/indigo-interglobe-aviation-ltd","4,945.30","5.51%","4,950.00","26,68,642","1,91,180.65","56.44","8.33","6,232.50","4,157.85","-3.15%","-12.08%","12.55%","132.74%","203.39%","20.99","0.21%","409.35%","15.53%","202.26","5,091.15","5,525.50","40.12","76.00%","80.00%"
"Grasim Industries","https://scanx.trade/company/grasim-industries-ltd","2,807.30","1.18%","2,869.00","11,11,274","1,91,042.87","21.05","4.09","2,977.80","2,301.65","-1.72%","-2.92%","13.49%","76.29%","136.84%","1.90","0.36%","7.14%","5.94%","85.43","2,787.24","2,769.66","47.28","78.00%","91.00%"
"Shriram Finance","https://scanx.trade/company/shriram-transport-finance-company-ltd","1,001.20","4.06%","1,013.00","85,54,610","1,88,361.97","19.79","-2.88","1,029.30","516.00","-0.91%","33.69%","83.32%","295.89%","266.30%","2.99","1.03%","14.88%","10.65%","201.17","930.52","731.23","45.60","75.03%","87.22%"
"Tech Mahindra","https://scanx.trade/company/tech-mahindra-ltd","1,720.10","-0.23%","1,845.00","21,76,317","1,68,521.87","36.79","31.91","1,776.60","1,209.40","6.71%","20.76%","3.95%","69.19%","79.70%","6.13","2.61%","8.83%","18.78%","25.74","1,609.38","1,540.88","61.12","76.00%","90.49%"
"Jio Financial Services","https://scanx.trade/company/jio-financial-services-ltd","263.25","7.85%","260.05","3,78,45,558","1,67,246.45","96.54","-2.88","338.60","198.65","-12.74%","-14.19%","12.51%","5.77%","5.77%","1.15","0.20%","1.15%","1.49%","2.50","288.39","298.18","21.15","75.00%","87.50%"
"HDFC Life Insurance","https://scanx.trade/company/hdfc-life-insurance-ltd","720.65","0.44%","721.50","34,47,619","1,55,488.59","81.89","-2.88","820.75","600.35","-4.53%","-1.53%","15.97%","46.27%","5.81%","8.79","0.29%","10.73%","0.60%","7.61","752.67","757.93","38.31","78.00%","91.00%"
"Tata Motors Passenger Vehicles","https://scanx.trade/company/tata-motors-passenger-vehicles-ltd","371.85","2.47%","381.15","1,53,68,218","1,36,936.71","1.42","36.99","450.40","324.33","0.41%","-9.30%","-10.65%","38.10%","90.76%","1.21","1.65%","34.17%","18.34%","102.18","353.99","398.41","57.92","76.00%","88.88%"
"Trent","https://scanx.trade/company/trent-ltd","3,823.30","2.75%","3,900.00","6,53,872","1,35,913.52","82.32","36.12","6,261.00","3,645.00","-13.30%","-18.55%","-37.68%","215.82%","474.28%","21.67","0.13%","36.01%","29.27%","35.43","4,079.02","4,942.00","34.34","72.77%","85.74%"
"Tata Consumer Products","https://scanx.trade/company/tata-consumer-products-ltd","1,156.90","2.80%","1,148.90","10,11,500","1,14,480.38","75.68","-11.79","1,220.90","930.10","-1.18%","-0.70%","11.64%","58.89%","103.58%","5.48","0.73%","7.46%","7.91%","13.53","1,168.61","1,129.13","44.06","78.00%","90.91%"
"Cipla","https://scanx.trade/company/cipla-ltd","1,321.60","0.76%","1,365.00","22,42,687","1,06,755.12","23.37","16.27","1,673.00","1,281.70","-12.57%","-11.97%","-6.97%","28.90%","60.86%","3.22","1.22%","15.50%","21.57%","55.04","1,463.83","1,509.24","23.03","78.00%","91.00%"
"Dr Reddys Laboratories","https://scanx.trade/company/dr-reddys-laboratories-ltd","1,235.10","4.45%","1,265.00","12,37,850","1,03,085.20","17.87","16.27","1,379.70","1,020.00","-1.67%","3.13%","2.60%","41.31%","37.77%","2.74","0.68%","19.74%","21.88%","333.59","1,241.64","1,250.79","40.19","78.00%","91.00%"
"Apollo Hospitals","https://scanx.trade/company/apollo-hospitals-ltd","7,084.00","2.17%","7,070.00","3,67,736","1,01,857.05","57.67","-61.03","8,099.50","6,001.00","-0.64%","-7.77%","4.20%","67.41%","161.87%","10.97","0.18%","12.53%","15.53%","72.05","7,114.49","7,324.59","44.03","75.00%","91.00%"
"Max Healthcare Institute","https://scanx.trade/company/max-healthcare-institute-ltd","1,001.15","4.49%","1,011.00","34,54,044","97,388.80","68.71","-61.03","1,314.30","933.80","-5.78%","-12.78%","-12.56%","127.04%","490.30%","9.28","0.16%","14.89%","11.73%","10.84","1,057.05","1,149.96","32.56","70.00%","87.47%"
